text,rating,date,lang
ni kenapa server bermasalah kode salah? level udah tinggi udah dari dulu mainya kenapa ya tolong responya,1,2026-01-13 14:07:09,id
kenapa server bermasalah?,1,2026-01-13 14:06:27,id
asli seru banget,5,2026-01-13 12:55:18,id
I hope This game will still survive,5,2026-01-12 12:19:54,id
"download ulang terus setan,udh selesai selalu ada masalah patch nya error",1,2026-01-11 15:51:40,id
keren. buru maen. cuma dikasih musuh lawan player dong 1 vs 1,5,2026-01-11 12:45:41,id
still there are many loading bug in smartphone.. as a old player its too embarassed,2,2026-01-11 11:05:43,id
mntp gasssss,5,2026-01-10 23:50:39,id
update ya ampunn... kalau bayak kuota enak... update besar... pakain wifi susah sangat lama download ya... pdahal kalau di update perubahan g banyak,2,2026-01-10 15:07:09,id
Bagus bagus aja sih menurut ku,5,2026-01-10 13:54:24,id
The game is very good but I hope this game can have offline mode because the ads are very annoying.,5,2026-01-09 03:07:46,id
makin kesini makin berat game nya gak kayak dulu,1,2026-01-08 06:22:11,id
"woi lah developer masih jam 5 udh maintenance,misi belom ada yg kelar😿 Setidaknya kasih pengumuman dulu lah😡",2,2026-01-08 05:51:37,id
"maaf saya kurangin bintang nya, itu karena ada banyak kendala selama saya bermain game ini terutama pada bug yg mengganggu seperti boss yg hilang atau hanya berwarna putih, bayangan sjw yg tidak muncul, dan juga sering force close atau permasalah sinyal yg tidak stabil.🫠",3,2026-01-07 21:17:43,id
belum juga login,5,2026-01-07 15:38:19,id
gem nya seruh parah jir,5,2026-01-07 11:36:23,id
ngeri size nya..,3,2026-01-06 19:22:13,id
no rekomendasi,1,2026-01-06 18:38:27,id
gamenya keren,5,2026-01-06 15:29:51,id
tahun lalu download gara gara frieren doang,5,2026-01-05 21:10:15,id
sering force close,1,2026-01-05 13:38:55,id
"makin sini makin banyak fitur jadi males main terus hadiah nya ga seberapa, ada game play 12 hanter sampe 20 hanter lah dan terlalu banyak makan waktu ngebuild setiap hunter nya",5,2026-01-04 22:39:13,id
Bagus Bett ini gem ada alur nya juga,5,2026-01-04 21:43:42,id
game nya bagus terus mirip banget sm aslinya,5,2026-01-02 05:19:58,id
udh d instal mau main d awal tp berat sangat coba priksa lagi dah perangkat servernya kaya nya lagi banyak problem nya,5,2026-01-02 03:29:36,id
download nya lama...,1,2026-01-01 21:44:13,id
"ini game emng gede kk ram nya sampe 21gb, tapi untuk hp yg ram nya besar gk ngelag kok,",5,2026-01-01 00:57:52,id
"IZINN, JUJUR INI GAME GACHA TERBAIK DAN PALING RAMAH F2P, BAYANGIN AJA LU JARANG TOP UP TAPI NGERASA SULTAN DIKASI BANSOS NYA BANYAK BANGET WOII GUA GA NYANGKA SII, F2P BISA B5 IN HUNTER NYAA. BUAT KALIAN YANG GA PERCAYA COBAIN AJA DEH INI JUJUR",5,2025-12-31 13:12:50,id
ini sementara saya kasih bintang 2 dulu karena ada masalah di saat sedang bermain sering tiba tiba keluar dari game sendiri nya yang sangat menganggu tolong di perbaiki secepatnya 🙏,2,2025-12-31 00:21:13,id
Update percepat Loading Cukup itu aja yg menghambat,5,2025-12-30 21:22:46,id
"apalah gak bisa masuk sama sekali,selau muncul tulisan scurity alert code (code : 2) [hack],udh banyak cara gw pake tetep aja gak bisa masuk",1,2025-12-30 19:46:33,id
terimakasih sudah membuat game,5,2025-12-29 21:03:27,id
terdapat bug senjata yang sudah di craft tidak muncul padahal sudah tersertifikasi dapat,1,2025-12-29 14:27:44,id
"Game baik, tpi makin berat wak aduhh hp ku gak kuat njir",5,2025-12-29 00:22:09,id
ugly.. just stop day dreaming,1,2025-12-28 23:08:40,id
sia² grinding gw LV max+udah ke buka semua character sekarang beratnya minta ampun udah ga kuat ngangkat ni hp padahal pass awal² lancar.,2,2025-12-28 15:58:45,id
"Bagus, cukup mudah dimainkan, cuma kalo main game ini HP cepet panas & berat, padahal pakai grafik rendah, dan banyak bug. gamenya makin lama makin berat banget, bahkan rekomendasi minimal untuk main game ini pakai RAM 8 ,serta chipset snapdragon 680 keatas.",4,2025-12-28 14:14:22,id
"Legion Pad 3 high spec aja gak smooth, pengaturan rata kanan dapetnya 30fps sakit mata... bukan menu dll ngelag ada pending sepersekian detik, developernya kayaknya mentingin top up dari pada kenyamanan pemain. tidak direkomendasikan di download ya ngabisin data download ampe mau 10GB btw",2,2025-12-27 19:01:21,id
Good Game,5,2025-12-27 12:18:05,id
"untuk gameplay sudah bagus,tapi cuman ada kekurangan sedikit dalam cutscene nya.Ada yang Karakternya tidak muncul cuman senjata yang gerak aja.Cuman itu saja si,tapi saya harap Netmarble memberikan fitur ganti tema main screen loading saat login,saya ingin main screen yang ada gambar sung jin woo dan rajat semut yang warna hitam lagi bertarung dan musik nya, soal nya saya kangen dengan main screen itu,soal nya itu paling ikonik menurut aku",5,2025-12-27 11:08:15,id
Why when I exchange skins in the skin shop do they become fragments?,1,2025-12-27 10:34:59,id
deadass game too greedy dev,1,2025-12-27 07:55:38,id
saya ga maen kek nya malah otomatis maen sendiri bikin ga mood,2,2025-12-26 21:56:56,id
"kenapa game ini tidak ada di ps5? padahal kalo ada di ps5 lebih seruu, smoga developer bisa masukin game ini ke ps5 segera",3,2025-12-26 18:10:18,id
geme koyok tempek,1,2025-12-26 16:14:26,id
"It's good, but please, developers, I'm only improving my team a little bit, but it's getting bigger and bigger. The team needs to be stronger and use more time. Please, don't just give it 2 minutes.",3,2025-12-26 11:00:14,id
tiap Minggu update mulu entah apa apa yg di update jadi mals maen padahal Hero ku dh hampir ss smua,1,2025-12-23 14:14:26,id
"overall bagus, cuma kok ini game kesannya berat banget. padahal hp saya chipset snapdragon 8 gen 1. jangankan main disettingan normal, settingan rendah aja hp udah berasa kebakar. mana nguras banget baterai padahal settingan RENDAH. please lah developer ini game dioptimalin lagi. next diubah bintang 5 kalo udah ada perbaikan. thanks.",3,2025-12-23 13:24:32,id
bagus,5,2025-12-23 12:51:51,id
"gamenya bagus banget, seru, tapi tolong perbanyak lagi karakter baru, dan tingkatkan sedikit persentase mendapat karakter SSR",4,2025-12-23 06:31:16,id
👍👌👌👌👌,5,2025-12-22 20:50:34,id
"Baek Yong ho white tiger berkurang setengah. jika d pake bertarung, fix it",2,2025-12-22 10:01:39,id
"di lobi cuman nga ngo nga ngo gak ada kegiatan lain buat lah wilayah yg bisa di eksplor, gak ad otak bos nya bisa bisanya di suruh kalahin boss kroco tapi di kasih tantangan bom yang gak bisa di hubungi dari bom nya punya bar break di tambah darah bomnya lebih tinggi dari bosnya, terus gak bisa abis abis meledak 1 aja 1 area spawn lagi sampe kalah",1,2025-12-21 19:13:57,id
game bagus ni menurut gua cmn pas mau masuk game gabisa pake wifi njr trs banyak bug jg optimalin lg sayang game bagus eos,3,2025-12-21 17:43:42,id
bagus banget jangan sampe tutup server ya,5,2025-12-21 16:43:38,id
"Setelah 6 Bulan ga main game ini ternyata banyak banger perubahan ya, sudah colab sama anime fieren terus juga updatenya udah ada bapanya sung jinwo/naga kamish keren juga ternyata, dan ada 1 lagi yg bikin saya bingung ini kontrolnya berubah ya skilnya jadi kaya kecil ga kaya dulu saya nyoba main story tombolnya di tangan saya jadi kecil ya? tolong dong di perbesar lagi tombol skil biar pas di tangan kaya kurang aja gitu di tangan saya, Sekian terimakasi🙏",5,2025-12-21 01:52:30,id
kali kali bisa GK KLO main tuh smooth buat hp ram 6 hhhhehere tapi bagus bngt ah saya sange mas ahhhhhh tak ewe ini game hamil nanti 😋😋😋😋,5,2025-12-20 20:35:02,id
"event Natal nya memuaskan, sorry untuk sebelumnya 🗿🙏",1,2025-12-20 20:07:15,id
best game,5,2025-12-20 00:47:39,id
"untuk overall udah bagus ya, cuma untuk optimisasi nya agak kurang, bukan berharap lebih tapi spek HP entry pun bisa frame drop di setting normal 30 fps, padahal game lain kayak hsr bisa high, wtm bisa rata kanan",5,2025-12-19 21:08:04,id
kacau sering update ngalah²in apl sebelah😭,3,2025-12-19 18:47:48,id
mantep 👍🏻,5,2025-12-19 18:21:58,id
bukan kaum mendang mending,5,2025-12-19 15:28:38,id
gajelas bisa banget sumpah makin kesini masa baru kemarin upgrade sekarang uptade lagi gimana mau banyak peminat kalo gini trus mana size nya ga ngotak sekali upgrade adeuhhh 😴,1,2025-12-19 13:23:05,id
sekarang udah oke lah,5,2025-12-19 13:05:50,id
"update Mulu dah Baru juga main dalam 3 udah update nya 2kali kayak 1hari update Mulu dah lama¹ hp bisa meledak, udahlah gem nya gak bagus malah di bikin update lagi udah sepi ini gem gak usah terlalu banyak update lah capek lama¹ main gem ini",2,2025-12-19 12:46:27,id
kapan storynya ditambah ?,5,2025-12-19 11:41:43,id
"aku baca komik udah 10× lebih, sama game ini hampir sama alurnya orang nya skill nya cuman minus nya game nya lag patah patah kadang stuck padahal HP saya udah spek dewa gaming",3,2025-12-19 10:31:29,id
apa lagi sih yang di apdetk Cok tar harus unduh data 1gb lagi,1,2025-12-19 09:48:03,id
"Game ini bagus,dan menyenangkan saat dimainkan 👍",5,2025-12-19 09:43:45,id
"secara keseluruhan game ini sudah bagus. yg bilang ram 8 ngeleg chipset kalian noh buriq abis, ram 8 doang kl chipset buriq ya sama aja ga lancar mainnya... game ini minusnya cuma harganya ga ngotak sama kl update lumayan",4,2025-12-19 08:54:48,id
buat developer mending kalo buat game yang full data sekalian ya kalo downloadnya di in game susah banget mending fullnya di play store kalo emg 2GB yaudah 2GB aja,1,2025-12-19 04:16:04,id
"mengapa gabisa di mainin nihh, setelah D&C MEDIA layar langsung hitam semua",2,2025-12-19 00:17:58,id
sangat bagus,5,2025-12-18 21:45:30,id
ni game bagus bet jirr mirip ama anime asli nyah dan chaapter sampingan nyah pun di masukin jir + dapet banyak ssr gratis gacha tapi harus kerja 🗿,5,2025-12-18 21:19:22,id
👎,3,2025-12-18 20:39:31,id
keren gue udh maen ampir 2 tahun tambah livecht global atau tambah arena multivayer mkasih,5,2025-12-18 20:15:20,id
apa dah kalo make jaringan wifi suka muter² padahal jaringan lancar,1,2025-12-18 19:25:44,id
Kikir bet jir ni dev🗿🗿,2,2025-12-18 18:39:37,id
Full Star karena saya sudah baca semua full episodenya di MangaEvo dan salah satu Manga FAVORIT saya. Ternyata gamenya juga THE BEST🤩👍 MANTAP DEVELOPER dan AUTHOR🔥🔥,5,2025-12-18 17:59:13,id
nice game . tp updated nya selalu Gedhe ... hehehhehe,5,2025-12-18 16:51:50,id
"game bagus parah, sesuai sama Solo Leveling juga namun aku punya beberapa rekomendasi yaitu: Shadow Soldiers Greed, Kamish, Ashborn, dan lain'. Tambahin mode offline (walau cuman bisa main diGate juga gapapa) senjata Jinwoo yang baru dong (elemen bebas) gitu aja sih",5,2025-12-18 14:25:20,id
"skrg kalo update harus sampe dlam nya download lagi ulang hufft kuota biasa boros inihh bisa2 , tolong di perbaiki",2,2025-12-18 14:13:55,id
kenapa pas sayang udah download sekitar 7gb malah download ulang jadi 0 rugi kalo begini,1,2025-12-18 14:02:13,id
"gamenya bagus sih tapi kalau kalian mau main game ini harus punya HP spek dewa, soalnya sekali download 10gb ke atas, HP kentang gak disarankan untuk main game ini😂😂",5,2025-12-18 13:16:03,id
Collabb with anime again good game I like this event free diamond very more please,5,2025-12-18 13:07:27,id
untuk graphic oke ga pelit untuk item dan karakter tolong dimudahkan untuk melawan bos dan cerita nya di perpanjang karakter dan senjata di perbanyak lagi agar lebih betah mainin nya,5,2025-12-18 12:57:49,id
Hopefully this game will be lighter to play in the future on lighter phones.,5,2025-12-18 12:52:28,id
bagus namun ada yang kurang p2w nya agak banyak,4,2025-12-18 12:24:52,id
bang kok gak bisa di buka sampai kapan gak bisa,3,2025-12-18 09:00:24,id
"setelah event collab selesai, kenapa harus download data ulang sebesar 8 gb.",3,2025-12-18 08:11:23,id
"Langsung aja ya.....tolong untuk enchant artefak,yang naik nya itu yang sesuai aja sama stat yang di butuhkan hunter/sung jin woo nya gitu biar ga boros material upgred,atau bisa milih stat mana yang kita naikin.......dan juga tolong pengoptilannya lagi di perangkat mobile karna masih ada beberpa bug yg mengganggu....kalau bisa rendering di kurangin untuk yang mobile.Itu aja..tolong ya netmarble selaku dev nya",5,2025-12-18 08:07:36,id
mantap euy gameny udah baikan dari sebelumnya. saran kedepannya si ya tambahin event/permanent event yang buat resource upgrade gitu. soalnya ini game sedikit susah untuk dapetin resource,5,2025-12-18 07:09:02,id
muaaantaaap polll,5,2025-12-18 05:07:47,id
"apalah dikit"" reconnecting mulu, kuota masih banyak sering banget dc, pake wifi pun juga dc, mau nya gimana si",2,2025-12-17 20:28:14,id
"game ini kok pas baru dowload loding nya kok kelamaan ya, tolong di perbaiki saya juga pengen main tapi lorong nya lama tolong ya, trus họ saya pas loding tiba""panas banget, game nya kayak konto",1,2025-12-17 12:32:59,id
"anime suntik, game jelek.",1,2025-12-17 07:22:44,id
"teruntuk kang developer..tolong dong Collab anime Monster..Yohan liebert ,kayak nya OP..pake skill pikiran wkwkwkkwk",5,2025-12-16 20:43:48,id
game yang sangat worthit untuk orang yang suka game type story dan yang mau main genshin tapi gak mau ribet ini cocok bangett sangat rekomendasi game terbaik,5,2025-12-16 16:55:24,id
gamenya bagus grafik udah cukup detail buat orang² yg suka kena bug atau apapun itu mungkin device kalian yang kurang mumpuni terimakasih devloper sudah membuat game sekeren dan seseru ini✌️🙏,5,2025-12-16 15:11:57,id
"beda bgt kek di anime jir mana gada bhs Jepang nya lagi, jalan kaki, analog susah di kontrol nya size doang gede",5,2025-12-16 13:05:09,id
"tolong adain collab lagi dong sama anime"" terkenal seperti HxH ,one piece atau naruto",5,2025-12-16 01:47:06,id
"baguss banget dari segi gemplay, grafik yang bagus ok banget deh, buat yang login ny lama mungkin itu karena hp kalian yang kagak kuat memainkan game ini,,, dan dari segi gacha bagus game kagak kikir",5,2025-12-15 15:29:49,id
Tidak loading sehari akun keluar sendiri mulai dari awal level 1,1,2025-12-15 11:04:59,id
"membosankan gamenya monoton, meski banyak fitur tapi kalo gak bisa menang apa buat cuma pajangan doang, jadi bosen mainnya, ini dan itu harus bayar semua",3,2025-12-15 10:41:11,id
gacor,5,2025-12-14 21:12:24,id
entah knapa akun saya malah jadi ngulang dari awal sumpah aneh banget da karakter saya udah pada ga ada lagi mana udah beli item dan ngeluarin uang malah pada ludes.,1,2025-12-14 11:38:00,id
untuk jalan cerita sama kaya di anime dan komiknya sama jadi bisa ngalamin jadi Hunter,5,2025-12-14 07:39:20,id
download datanya kegedeaan mana suka crassh pdahal device i phone 13 pro,1,2025-12-13 23:58:28,id
"saya mau maen game ini di hp baru pas saya sambungin sama email tapi beda akun tolong, saya ingin memainkan akun saya lagi",1,2025-12-12 20:10:50,id
game sering eror gagal surves ntah apa lah pertama juga enak gamenya tapi tiba-tiba keluar sendiri,2,2025-12-12 18:20:57,id
ngestuck,1,2025-12-12 16:53:53,id
grafiknya bagus banget dan pertarungannya,5,2025-12-11 20:11:51,id
gam nya aneh gervik nya tiba tiba rusak aneh Garena tolong perbaiki,1,2025-12-11 14:23:49,id
ini game kompleks lah mau story atau sekedar farm juga asik. paling utama adalah tetap update sesuai manwanya . persoalan game play atau semua tergantung Device nya kalau mampuni maka tidak kendala nyaman 60fps Set Tinggi Semua,5,2025-12-11 06:24:00,id
game nya up sih tapi banyak update nya ketika masuk gem nya mohon kurangi update nya gem sih bagus tapi.. update nya enggak masuk akall🧐,2,2025-12-10 22:05:51,id
kekurangan hp kentang susah main moga moga grafik efek yg tidak penting di tutup di mode smoth,1,2025-12-10 19:35:25,id
"game nya bagus namun di shoping yg di pakek belanja semuanya mata uang asli dengan cara membeli diamon dan yg lain namun di tempat shop tidak ada pembelajaan untuk koin gold sama sekali koin gold cuma bisa di pakai jika pelayer menaikan level sesuatu, tapi selain itu taruh lah sesuatu di shop pembelian sesuatu yg menggunakan koin gold agar gold kita sebagai player tidak menumpuk, jika sudah ada pembelajaan memakai gold di shop maka rating yg saya berikan ini akan saya ubah, tolong di respon min",3,2025-12-10 18:54:30,id
"game nya bagus sudah ada banyak perkembangan, tidak pelit bansos dan ramah untuk player gratisan. event banyak menarik dan colab terakhir dengan anime frieren terbaik sih. mungkin bisa ditambah event kolab dengan series anime terkenal seperti one Piece atau naruto sepertinya seru",5,2025-12-10 16:20:39,id
"game gaje cape"" gacha ehh karakter nya gabisa di ganti",2,2025-12-10 11:15:29,id
cuma jlknya klo pembaruan download ulang semuanya .. .,3,2025-12-10 08:36:16,id
Lumayan,4,2025-12-10 06:18:47,id
"tinggal tunggu mode pvp aja lg , mudah mudahan cepet .",5,2025-12-09 20:47:32,id
banyak error saat main.,1,2025-12-09 17:25:48,id
game burik dowload lama2 disuruh dowload yang 9gb ngotak dikit😮‍💨😮‍💨😮‍💨,1,2025-12-09 14:50:04,id
"download data ulang kayak pertama kali, padahal ngk di apa apa in, setiap hari juga ku login in ntah kenapa tiba tiba donwload data ulang. kalo ini bug silakan di perbaiki lagi yaa🙏🙏",1,2025-12-09 11:34:12,id
"nih ya, gwe dah cape dwonload masih b aja lah nah eps 4 yg kenaikan level malah nge bug g bisa di pencet anjir gaje",1,2025-12-09 01:03:11,id
ngelag woi,1,2025-12-09 00:04:48,id
"Tolong bug nya dihapus, masih banyak bug",4,2025-12-08 20:34:42,id
bagus banget,5,2025-12-08 16:34:21,id
game baik dan bagus,1,2025-12-08 12:45:58,id
download smpai 9GB lebih. dah lama2. download. ngulang lagi. harusnya klu udah jln setengah. klu lanjut tinggal teruain. harus ngulang dri awal lg. capek dah 4x download. keputus mlu dah sepertiga jalan.,1,2025-12-08 09:07:49,id
"game nya bagus aja menurut saya pribadi. dan untuk tampilan efek evolusi pasukan bayangan nya lebih ke wah lagi yaahh, selain terus kembangkan lagi game ini 😁",5,2025-12-08 00:54:03,id
😁,5,2025-12-07 21:06:24,id
game nya bagus tapi suka nge lag dan keluar sendiri,4,2025-12-07 10:32:58,id
can you guys make an option to turn off controller vibration on the settings. it's really annoying to play with controller because it shakes everytime i attack,2,2025-12-07 09:14:52,id
"setelah update kenapa banyak yang berbayar, kaya sapu bersih gate, itu sebelum update gratis sekarang kenapa jadi berbayar? udh banyak uangnya ya?",2,2025-12-06 17:44:19,id
"download data 9gb gak bisa download sambil main, nunggu 9gb siapa yang sabar",1,2025-12-06 17:19:42,id
"Why is it that the game is boring lately because the prizes are too few, not like before",1,2025-12-06 16:47:03,id
game bagus banget,5,2025-12-06 04:40:32,id
ga kikir nih game rimsvek ❤️,5,2025-12-05 17:26:13,id
noooo hp gua udah kuat Masi ngelek tolong developer fos nya di turunin dong😭😭😭,1,2025-12-05 15:28:25,id
gacha nya gak guna,1,2025-12-05 13:27:30,id
tolong sistem lock enemy nya dioptimalkan ini untuk semua stage beberapa boss locknya malah stuck di enviroment stage yg gajelas bukannya lock ke musuh malah ke dinding atau hal kosong. tolong segera di fix,1,2025-12-05 09:22:20,id
"ada beberapa masalah 1 cuman gak login beberapa Minggu tapi udah update besar"" an terlalu lama di loby.dan yang lainnya udah di jelasin sama player"" lain .gw kasih bintang lima kenapa ? supaya kritikan gw di baca sama dvplr nya . terimakasih",5,2025-12-04 21:23:16,id
ikutan kasih bintang 1 loading seabad,1,2025-12-03 21:54:44,id
mantap gameplay nya ternyata,5,2025-12-03 18:39:34,id
hahahaha death game mampussss,1,2025-12-03 16:08:08,id
gamenya bagus. tapi tolong perbaiki jaringannya suka ilang2 main gk nyaman. tiap kali main loadigg trus🙃,2,2025-12-03 09:15:18,id
"game nya seru sih tapi size apk sama file"" yang lain nya terlalu gede dan harus banget pakek wifi kalo download file nya soal nya gede banget tidak rekomendasi kalo buat di hp 1jtan sih",3,2025-12-03 01:59:29,id
grafic oke. cerita oke.,5,2025-12-02 20:03:41,id
"Masih banyak bugnya, sayang banget game sebagus ini malah banyak bug nya apalagi servernya lemot banget. Semoga bisa diperbaiki",1,2025-12-02 09:19:26,id
setiap masuk kadang suka keluar keluar sendiri kadang setiap di lobby tiba tiba keluar dari game,1,2025-12-02 08:59:57,id
"This is ridiculous. Other games always emphasize the importance of level differences. How can a level 99 still defeat a fully built level 110? Even when fighting a level 80 boss, you'll constantly adjust to make sure the enemy isn't easily defeated. Netmarble always makes every franchise a joke with its versions of the games.",1,2025-12-01 10:17:54,id
game dongo lawan baran ga ngotak musuhnya,1,2025-11-30 23:18:12,id
"Game bagus, ga pelit reward, tolong collab lg :""",5,2025-11-30 21:09:18,id
game nya kasih waktu pas lawan boss mana dikit banget lagi cuman 2 menit doang trus game nya lama lodingnya,1,2025-11-30 14:07:10,id
"ukuran game nya ga ngotak gede bgt skali update 4gb kaya pas pasang baru trus game nya gitu"" doang blom top up nya mahal bgt",2,2025-11-30 11:54:43,id
"geblek lg maen mlh loading terus,,keluar game masuk lg gak bisa hadeuh",3,2025-11-29 23:24:39,id
buasa,3,2025-11-29 17:03:51,id
"Game bagus banget, buat HP spec nanggung mendingan jangan dah, soalnya gw pernah download sebelumnya dan patah2, alhamdulillah ada rejeki ganti yg bagusan download lagi buat main, efek skillnya keren banget 🤗",5,2025-11-29 09:22:10,id
saya sudah top up hari ini. di event black friday. saldo sdh terpotong. tapi hasil top up tidak masuk. tolong solusinya.,1,2025-11-28 18:36:06,id
tolong ini kenapa ya kalau mau download ulang itu disuruhnya harus ada storage 20 GB? padahal pas didownload atau pun sudah di download itu size nya cuma 9GB tolong ini diperbaiki!!!,1,2025-11-28 12:50:23,id
"come on, gw suka sama game ini, suka banget malah, tapi kenapa klo ga login 4-6 hari, pas login lagi malah update besar besaran, mana memori hp langsung penuh lagi, game nya bagus cuman lu koreksi lagi aja dah developer, gw udah ngasih komentar🙏",2,2025-11-28 01:22:17,id
terlalu banyak loading,1,2025-11-27 20:27:18,id
Semakin banyak update semakin banyak bug frame rate udah diturunin masih ada notice terlalu tinggi lagi bertarung malah berbayang setelah selesai,2,2025-11-27 20:15:48,id
