text,label
"Game ya bagus cuman gak suport di HP dgn ram 4 GB dan snapdragon 65 kek gw, padahal game ya bagus apalagi buat pemain baru, otw donwload lagi kalaw dah ganti HP, btw jgan kemakan sama ulasan orang lain update pailing besar selama gw main paling 300-400 mb an.",positif
jdi 20gb jink dlu 15 doang/10,negatif
game aneh baru juga mau main udan di suruh download data aja 9 GB gjls jangan download percuma,negatif
aaa game nya keren banget mana jinwo nya ganteng lagi💐💐,positif
tolong ya setelah di upgrade grafiknya ok malab ngadad ya,netral
Pay to win,negatif
"mantap keren , prsis d animenya. harus lvl up bru bsa nex chapter",positif
👌,positif
saat pertarungan hilangin detik atau menit saat bertarungnya karena kalo ada waktunya semakin ga seru dan tidak enjoy saat bermain,netral
"Tolong untuk sistem waktu dalam pertarungan nya dihilangkan, kami ingin sekali menikmati pertarungan nya dan tidak terburu buru karena waktu yang singkat",positif
gaasik ada auto jalan,negatif
developer semenjak update bayangan player dan monster dan karakter yang lain menghilang atau tidak terlihat padahal sudah di setting ke kualitas tinggi dan sangat tinggi tapi bayangan player dan yang lainnya menghilang mohon di perbaiki. bahkan bayangan pohon dan lain lain ketika memasuki dunia petarungan menjadi kotak kotak pixel di Snapdragon 675,positif
gak ada PvP bosen,negatif
"saya nunggu download data sampai 3 gb terus saya keluar, masuk lagi malah ngulang dari awal",netral
Masih sering loading di dalam game jadi males main,negatif
"Itu ada bug pada saat download data, punya gw udah gw download datanya tapi pas pengecekan resorce data gw matiin hp ya karna ngeleg, pas login ulang di suruh download data ulang lagi jadi sia sia paket data gw 9.24 GB.... Mohon segera di perbaiki",negatif
bagus dan 3d jadi enak main nya,positif
"tolong fix bug di konten ""tahta kehancuran"" setiap abis ""break"" party ga nyerang tapi waktu berkurang, jadi damage ga bertambah",negatif
"dulu pernah nonton pas awal rilis,tp masih banyak bugnya,tp skrng ena gak?",positif
"kalau ukurannya gede gak usah di rilis buah handphone, buat game playstation saja",positif
kenapa sekarang jadi susah masuk padahal sinyal ada,positif
"Untuk developer, kenapa pada saat mau login pakai jaringan wifi itu tidak bisa masuk, padahal saya bermain game lain dengan pakai wifi normal saja, hanya game ini saja yang tidak bisa login menggunakan jaringan wifi, jadi tolong ditinjau kembali dan segera diperbaiki masalah ini",negatif
beberapa hari terakhir gak bisa run nih game.,negatif
woe balikin game kof arena/kof All star tiba2 tutup game seru bgt padahal,negatif
"kok gabisa login kalo pake wifi sih, kalo pake data bisa, dipaksa ngabisin kuota nih gitu ?",negatif
aku suka game nya bagus dan aku suka game Kaye anime asil bgt dah aku boleh minta satu gak aku mau solo Leveling sama anos voldigoad yg Sss don pls,positif
Buat gamenya berkolaborasi sama naruto atau anime lain biar player tidak bosan pakai hero yg sudah lama ada,positif
min coba colab Ama rimuru tempest biar gacor😁😁,positif
game terbaik,positif
"The latest story update is straying way too far from the original plot. As a Light Novel and Manhwa reader, I'm honestly a bit disappointed. Tarnak turning into a Rockpasha? That's ridiculous 😂",positif
udah agak mendingan sekarang,positif
"woi! itu yang bilang ngelag lah, tiba-tiba keluar lah, gak bisa main lah, berarti hp lo kentang! kalo kentang jangan main game ini! ini game berat!",positif
jaringan lancar gabisa update gajelas banget cuma ga sebulan dimainin,negatif
kecewa dengan NM ga ada artinya login 600days ++,negatif
abis update artefak nya hilang semua,negatif
loading nya kelamaan mohon dvlpr untuk di perbaiki soal nya aku nunggu sangat lama tapi masih aja sama ga masuk masuk kelamaan loading nya awal nya aku mikir itu bug ternyata bukan,netral
setelah update kok gambarnya burem ngga kaya sebelum di update bagus trus empat hari ngga dimainkan disuruh update gede lagi ....nie game nyedot kuota ....perbaiki dong jgn minta bintang lima aja,positif
FC mulu bikin bosan,negatif
monoton,netral
akhirnya udah gak ngebug lagi. KLO gini kan keren jadinya game ini. tinggal diperbanyak cerita sama event aja biar makin menarik,positif
tolong memorinya dikurangi karena saya tidak bisa bermain saat sudah download,negatif
ngelag,negatif
"bug objek jauh kaya lama buat ke render, musuh seakan tidak terlihat. padahal sebelumnya nggak. dipake buat game lebih berat pun hp saya lancar buat ngerender grafis.",positif
bagus tpi reward untuk gachany msih sulit,positif
assalamualaikum dev.. tolong dong hapus tombol auto battle nya,positif
ok,positif
gajelas nihh penginstalan data bermasalah terus padahal penyimpanan data masih bayak,negatif
"jarigan kurang stabil dan lelet ,bug",negatif
Halo maaf...kenapa...Update kali ini ada Bug Grafis lagi seperti bulan lalu...Please di perbaiki...kendala itu...Padahal...optimisasi kermarin bagus lho...hampir memenuhi pengalaman bermain yang enak...kali ini...saya banyak cacat di gambar...tiba tiba Error?...dan...3D Model Ke Hiden tiba tiba?... Walaupun setting rata kanan...tetep sama?,negatif
"Game bagus, hanya masalah bug saja yg sering kali bikin gak nyaman",positif
"Kepada Netmarble tolong perhatikan dan dengarkan, game ini bagus dan potensialnya cukup besar, tapi jangan lalai dalam memperhatikan sistem yang banyak sekali bug dimana mana, tolong dibenerin lagi, jangan cuma update-update tapi sistem ngga di optimize",positif
"Please update the story missions and hunter characters and shadow troops in every update, if necessary, update the story missions a little more so that you don't get bored playing quickly.",positif
maintenance bukanya tambah bagus malah tambah busuk,negatif
"Game nya mungkin agak monoton karena battle hanya itu"" saja, namun saya sangat senang karena devloper gak pelit reward banyak bahkan sekelas character collab aja di gratisin, saran saya saat cutscene buat animasi 3D nya, Terimakasih.",positif
seru,positif
"game terjelek dan terburuk yang pernah saya mainkan,kenapa sedang download data malah berhenti dan tidak bisa mendownload lagi,saya sudah menunggu lama mendownload data benar benar sangat buruk size kecil tapi lebih lancar game wuthering waves sialan",positif
collap sama dragon ball dong,positif
